Short tag,Q2 Bottleneck,# (bottlenecks only),# all a,Bottleneck Description,,Q3 Solution,# solutions only,# all b,Solution Description
,[P] Public,72,78,Social bottlenecks from outside the longevity community,,[+P] Public,30,48,Social projects aimed outside of the longevity community
Informedness,[P1] Poorly Informed,21,21,"General public is generally unaware of or misonfirmed about the science, tech and future possibilities.",,[+P1.1] Outreach to Public,11,15,"Shift public sentiment towards pro-longevity. Cascading benefits (policy, funding, market, career choice...)"
Disease Focus,[P2] Individual Disease Focus,17,20,Focus on age-related diseases rather than their root cause (aging).,,[+P1.2] Outreach to Other Fields,2,6,Bring fresh persepctives and skillsets into the longevity movement.
Credibility,[P3] Lack of Credibility,9,10,"Public skepticism with good cause, history of charlatanism, snake oil, ineffective ""anti-aging"" treatments.",,[+P1.3] Outreach to Biotech/Pharma,1,3,"Only 1% of Biotech/Pharma is longevity/aging oriented, lots of room for growth."
Institutional,[P4] Unaligned Institutions,10,10,"Lack of mandate, interest and even obstruction by gov agencies, academia, media, healthcare orgs, etc.",,[+P1.4] Outreach to Students,0,1,Deflect career paths at the highest leverage point.
Aversion,[P5] Geroscience Aversion,6,8,"Stigma, ""pro-aging trance"", naturalistic fallacy, culture of dystopianism / tech skepticism.",,[+P1.5] Outreach to Gov/Institutions,3,4,Engage/infiltrate to improve alignment. They have the power to break many bottlenecks if aligned.
Indifference,[P6] Indifference,7,7,"Apathy, laziness, or bystander effect (failure to take responsibility / thinking someone else will solve it).",,[+P2] Culture,10,11,A widespread pro-longevity cultural movement.
Negativity,[P7] Media Negativity,2,2,"Preferencial amplification of negative sentiments, which become the default public opinion by osmosis.",,[+P3] Incentives,2,5,Regulations/policies to incentivize longevity practices/industry growth - works for climate why not longevity?
,,,,,,[+P4] Comms Training,1,3,"For scientists, engineers, operators in longevity - training to communicate clearly and effectively to the public."
,,,,,,,,,
,[C] Community,151,165,How we dysfunction as a community,,[+C] Community,73,107,How we could improve functioning of the community
Mindset,[C1] Lack of Big Data Mindset,10,11,"More focus on empirical data collection: Multio-omics, images, phenotypes, medical, longititual, clinical, etc.",,[+C1] Big Data Mindset,2,5,"More focus on empirical data collection: Multio-omics, images, phenotypes, medical, longititual, clinical, etc."
Ad-hoc data,[C2] Ad-hoc Data / Protocols,15,20,Ad-hoc data/protocols (not reproducible or comparable) prevents integration and building on prior results.,,[+C2] Data/Protocol Standards,11,18,"Set and update standards for data and protocols, incentivize their use."
Networking,[C3] Networking,11,11," Isolated people/projects/subdisciplines, need for more networking and connection.",,[+C3] Networking,13,16,"Mechanism to connect employers, entrepreneurs, investors, volunteers, etc."
Collective Action,[C4] Lack of Collective Action,9,10,"Lack of collective actions such as consensus building, validation, data sharing, standards, roadmapping, etc.",,[+C4] Large Collaborative Projects,8,13,Large collaborative projects and rather than ego/grant/publication driven competition.
Definitions,[C5] Consensus Aging Definitions,11,12,Lack of a consensus definition of aging.,,[+C5] Collective Action,8,11,"Organize to facilitate consensus building, validation, data sharing, standards, roadmapping, etc."
Hype,[C6] Hype Cycles,11,11,"Hype cycles + herd mentality = inefficient distro of resources, short term booms and busts of interest/funding.",,[+C6] Consensus Aging Definition,6,12,Reach a consensus theory/definition of aging
Regional,[C7] Regional Concentration,8,10,Activity is heavily concentrated in a small number of extremely expensive places.,,[+C7] New Research Centers,6,8,More dedicated aging/longevity research centers. Diverse locations. Varied specialties. Facilitate large projects.
Reproducibility,[C8] Reproducibility Crisis,12,12,System incentivizes sloppy research and doesn't penalize poor quality.,,[+C8] Reproduce Key Results,3,6,Funded centers dedicated to reproducing / testing the robustness of key results.
Insularity,[C9] Insularity,13,14,"Aging/longevity has been an insulated backwater - need to emerge, mature and engage with other fields.",,[+C9] Field-Wide Status Dashboard,7,7,"Overview of all proposals, projects, pathways, targets, pre and in-clinic pipelines. Linked to data."
Siloing,[C10] Siloing / Secrecy,13,14,"Academic grant, IP, and publication systems can over-incentivize competition/secrecy over collaboration.",,[+C10] Outsourcing Services,4,6,"Longevity CROs/Cores - make outsourcing research easier such as lifespan studies, multi-omic analysis."
Conservatism,[C11] Conservatism,8,8,Sticking to worn out hypotheses / following authority after they are past their prime (ex. beta amyloid),,[+C11] Neg Results Incentives,3,4,Mechanism to incentivize/enable reporting negative results. Pre-results publication approvals for example.
Neg. Results,[C12] Lack of Negative Results,6,7,"System dis-incentivize negative result reporting. Results in duplicated efforts, and rewards hype.",,[+C12] Open Science,1,2,"Make data, samples, results open and available by default."
Entry Barriers,[C13] Entry Barriers/Orientation,6,7,"Hard learn / track of all the activity, regulations, systems at R&D, translation, clinical and healthcare levels.",,[+C13] Long-termism,1,2,"More focus on long term research and technology paths with higher-impact potential (vs ""low hanging fruit"")"
Piecemeal,[C14] Piecemeal Studies,7,7,"Narrow/reductionist ""piecemeal"" studies fail to address the complexity of aging.",,[+C14] Protected Time,1,1,"Reduce/limit the amount of time spent on non-research activities (admin, grants, etc.)"
Overhead,[C15] Admin Overhead,4,4,Bright scienetific minds are frequently being wasted on administrative burdens instead of doing science.,,[+C15] Leadership,1,1,"Bold and ambitious, yet free of ego/hype and relatable. Leadership is lacking but necessary to build a movement."
Paywalls,[C16] Journal Paywalls,2,2,Obvious and unnecessary barrier to the spread of scientific information.,,,,,
Short-termism,[C17] Short-termism,2,2,"Over-focus on ""low hanging fruit"" that is also low-impact. Starves high impact projects of resources.",,,,,
Misc.,[C18] Misc Community Issues,3,3,,,,,,
,,,,,,,,,
,,,,,,,,,
,[S] Science,130,140,Areas that need more basic scientific research.,,[+S] Science,35,80,"Research goals, that if achieved would unlock progress."
 Biomarkers,[S1] Validated Biomarkers,40,44,Lack of a validated way to measure biological age independent of chronological age / lifespan.,,[+S1] Validated Biomarkers,13,41,Validated way to measure biological age independent of chronological age / lifespan.
Aging Data,[S2] Aging Characterization,20,22,Characterization of what changes with age at the molecular/cellular/tissue/physiology levels.,,[+S2] Aging Fully Characterized,10,15,Comprehensive characterization of aging at the molecular/cellular/tissue/physiology levels.
Longitudinal,[S3] Longitudinal Data/Samples,14,17,"Lack of longitudinal data and samples (clinical records, biomarkers, multi-omics, biobanks).",,[+S3] Longitudinal Data/Samples,8,16,"Unlock or generate more longitudinal data and samples (clinical records, biomarkers, multi-omics, biobanks)"
Complexity,[S4] Aging Complexity,12,12,Complexity of aging is too much for traditional tools and institutional structures to grapple with effectively.,,[+S4] Aging Variation Mapped,3,4,"Comprehensive map of Intra and inter species aging variation (omics, physiology, phenotype, etc.)"
Variation,[S5] Variation Mapping,12,13,Need for more studies on intra & inter-species longevity variability and intervention responses.,,[+S10] Brain Rejuvenation/Replacement,1,4,Ambitious and broad range of R&D on brain rejuvenation/replacement.
Misc,[S6] Misc,8,8,Assorted other science bottlenecks / under-appreciated areas,,[+S11] Comprehensive Replacement,0,2,Methods to grow and replace any/all biological parts
SysBio,[S7] Systems Bio of Aging,9,9,Need for more systems/network approach studyies of aging.,,,,,
Brain Aging,[S8] Brain Aging,4,4,"Every other part could potentially be replaced, therefore brain aging is critical to understand.",,,,,
Mechanisms,[S9] Aging Mechanisms,11,11,"Belief that we don't yet understand what aging is, need to determine the fundamental mechanisms.",,,,,
Replacement,[S10] Replacement,2,2,Learn how to grow and replace any/all biological parts,,,,,
,,,,,,,,,
,[F] Funding,119,131,How funding is insufficient,,[+F] Funding,47,124,How to improve funding
Overall Lack,[F0] Overall Lack of Funding,40,44,We need Apollo program levels of funding - measured in % of GDP not in $Bs,,[+F0] Overall More Funding,18,44,We need Apollo program levels of funding - measured in % of GDP not in $Bs
Conservative,[F1] Too Conservative,22,26,"Difficult to get new/ambitious ideas funded, institutional culture of risk-aversion and incrementalism.",,[+F1] Ambitious/Exploratory,11,21,More ambitious/exploratory projects are needed to accelerate progress.
Basic Research,[F2] for Basic Research,18,19,"Longevity/aging is only 0.5% of NIH budget, even smaller elsewhere.",,[+F2] for Basic Research,5,20,"Longevity/aging is only 0.5% of NIH budget, even smaller elsewhere."
Short-term,[F3] Too Short-term,10,12,Lifespan studies in the most relevant models take longer than standard grant cycles.,,[+F3] Longer-term,6,13,Longer bets on people and projects are necessary for many aging research directions.
Startups,[F4] for Startups,9,9,"Longevity Biotech is only 1% of total Biotech Market Cap, huge room for growth.",,[+F4] for Startups,3,7,"Longevity Biotech is only 1% of total Biotech Market Cap, huge room for growth."
Gated,[F5] Gated,6,7,Hard to get funds if you're not from a top institution / company,,[+F5] for Outsiders,1,6,Take more bets on system outsiders (non-academic / non-ivy league).
Translation,[F6] for Translation,6,6,Not enough funding for translating basic research results to real world applications.,,[+F6] for Translation,1,4,Not enough funding for translating basic research results to real world applications.
Inflexible,[F7] Inflexible,2,2,Easier to get grants for continued work vs new directions. Incentives to stay the course even if not promising.,,[+F7] Flexible,1,3,Grants for promising people to transition from other fields/areas.
Outreach,[F8] for Outreach,2,2,"Funding for media and outreach to engage, educate, and attract the public and other communities.",,[+F8] for Outreach,0,2,"Funding for media and outreach to engage, educate, and attract the public and other communities."
Clinical,[F9] for Clinical/Longitudinal,2,2,"Clinical and longitudinal studies are bureaucratically difficult, expensive, and hard to get funded.",,[+F9] for Clinical/Longitudinal,0,2,"Clinical and longitudinal studies are bureaucratically difficult, expensive, and hard to get funded."
Slow,[F10] Bureaucratic/Slow,2,2,"High bureaucracy doesn’t improve decision making, it just wastes people’s time.",,[+F10] Faster Grants,1,2,"High bureaucracy doesn’t improve decision making, it just wastes people’s time."
,,,,,,,,,
,[H] People,99,102,Where we lack human resources,,[+H] People,18,46,Solutions for human resources
General Lack,[H0] Lack of People,15,15,Not enough people working in or entering the field.,,[+H0] More People,2,14,Not enough people working in or entering the field.
Career Paths,[H1] Career & Edu Paths,17,17,Lack of education and career paths by existing institutions.,,[+H1] Quantitative,1,8,"Need to recruit or train more people in quantitative skills (math, physics, statistics, ml, comp/systems bio)"
Pay,[H2] Low Pay,6,8,"Need to pay people more to make careers in our field sustainable, and to compete for top talent.",,[+H2] Higher Pay,3,7,"Need to pay people more to make careers in our field sustainable, and to compete for top talent."
Quantiative,[H3] Quantitative,7,7,"Biology has been a ""soft/artisinal"" science - need to grow up, accelerate the shift to quantitative approaches.",,[+H3] Longevity Training,2,5,We need edu/career paths for people to start or shift careers in longevity biotech.
Top Talent,[H4] Top/Skilled Talent,22,22,"Top talent can have outsized effects, and is currently not focused on longevity.",,[+H4] Skills Assessment,2,2,Better alternatives to degrees/resumes/interviews? Get people to work faster and more efficiently.
Immigration,[H6] Immigration/Borders,4,5,Immigration/border restrictions are hampering efficient allocaiton of human resources.,,[+H5] Interdisciplinary,1,3,Need more interdisciplinary overlaps for fresh perspective.
Hiring,[H7] Hiring,4,4,Hiring people is time consuming and error-prone.,,[+H6] More/Flexible Visas,1,1,Immigration/border restrictions are hampering efficient allocaiton of human resources.
Interdisciplinary,[H8] Interdisciplinary,6,6,Need more interdisciplinary overlaps for fresh perspective.,,[+H10] Personal/Misc,4,4,Misc personal solutions
Personal/Misc,[H9] Personal/Misc,18,18,"Various personal and miscellaneous issues, e.g. lack of time, family issues, etc.",,[+H9] Top/Skilled Talent,2,2,"Top talent can have outsized effects, and is currently not focused on longevity."
,,,,,,,,,
,[X] Tools,174,197,"Tools, technologies and resources currently lacking",,[+X] Tools,79,161,"Needed tools, technologies and resources"
Misc Tech,[X0] Lack of Misc Tools/Tech,4,5,Not enough Tools and Technology development in general.,,[+X0] Unspecified Tools/Tech,1,4,More Tools and Technology development in general.
